"hexagon_id","geom_wkt"
1,"POLYGON((-10000 311769.1453623979,-5000 303108.8913245535,5000 303108.8913245535,10000 311769.1453623979,5000 320429.3994002423,-5000 320429.3994002423,-10000 311769.1453623979))"
2,"POLYGON((-10000 329089.6534380867,-5000 320429.3994002423,5000 320429.3994002423,10000 329089.6534380867,5000 337749.90747593105,-5000 337749.90747593105,-10000 329089.6534380867))"
3,"POLYGON((-10000 346410.16151377547,-5000 337749.90747593105,5000 337749.90747593105,10000 346410.16151377547,5000 355070.41555161984,-5000 355070.41555161984,-10000 346410.16151377547))"
4,"POLYGON((-10000 363730.6695894642,-5000 355070.41555161984,5000 355070.41555161984,10000 363730.6695894642,5000 372390.9236273086,-5000 372390.9236273086,-10000 363730.6695894642))"
5,"POLYGON((-10000 381051.177665153,-5000 372390.9236273086,5000 372390.9236273086,10000 381051.177665153,5000 389711.43170299736,-5000 389711.43170299736,-10000 381051.177665153))"
6,"POLYGON((-10000 398371.6857408418,-5000 389711.43170299736,5000 389711.43170299736,10000 398371.6857408418,5000 407031.93977868615,-5000 407031.93977868615,-10000 398371.6857408418))"
7,"POLYGON((-10000 415692.1938165305,-5000 407031.93977868615,5000 407031.93977868615,10000 415692.1938165305,5000 424352.44785437494,-5000 424352.44785437494,-10000 415692.1938165305))"
8,"POLYGON((-10000 433012.7018922193,-5000 424352.44785437494,5000 424352.44785437494,10000 433012.7018922193,5000 441672.95593006373,-5000 441672.95593006373,-10000 433012.7018922193))"
9,"POLYGON((-10000 450333.2099679081,-5000 441672.95593006373,5000 441672.95593006373,10000 450333.2099679081,5000 458993.46400575247,-5000 458993.46400575247,-10000 450333.2099679081))"
10,"POLYGON((-10000 467653.7180435969,-5000 458993.46400575247,5000 458993.46400575247,10000 467653.7180435969,5000 476313.97208144126,-5000 476313.97208144126,-10000 467653.7180435969))"
11,"POLYGON((-10000 484974.2261192856,-5000 476313.97208144126,5000 476313.97208144126,10000 484974.2261192856,5000 493634.48015713005,-5000 493634.48015713005,-10000 484974.2261192856))"
12,"POLYGON((-10000 502294.7341949744,-5000 493634.48015713005,5000 493634.48015713005,10000 502294.7341949744,5000 510954.9882328188,-5000 510954.9882328188,-10000 502294.7341949744))"
13,"POLYGON((-10000 519615.2422706632,-5000 510954.9882328188,5000 510954.9882328188,10000 519615.2422706632,5000 528275.4963085075,-5000 528275.4963085075,-10000 519615.2422706632))"
14,"POLYGON((-10000 536935.750346352,-5000 528275.4963085075,5000 528275.4963085075,10000 536935.750346352,5000 545596.0043841964,-5000 545596.0043841964,-10000 536935.750346352))"
15,"POLYGON((-10000 554256.2584220407,-5000 545596.0043841964,5000 545596.0043841964,10000 554256.2584220407,5000 562916.5124598851,-5000 562916.5124598851,-10000 554256.2584220407))"
16,"POLYGON((-10000 571576.7664977295,-5000 562916.5124598851,5000 562916.5124598851,10000 571576.7664977295,5000 580237.020535574,-5000 580237.020535574,-10000 571576.7664977295))"
17,"POLYGON((-10000 588897.2745734183,-5000 580237.020535574,5000 580237.020535574,10000 588897.2745734183,5000 597557.5286112627,-5000 597557.5286112627,-10000 588897.2745734183))"
18,"POLYGON((-10000 606217.782649107,-5000 597557.5286112627,5000 597557.5286112627,10000 606217.782649107,5000 614878.0366869514,-5000 614878.0366869514,-10000 606217.782649107))"
