random_point_id,random_person_name,longitude,latitude,something,something_else,random_amount,random_timestamp,random_look_up_value,random_another_look_up_value,dash-character
1,9c37ad41c7e4453def2bb9caaa7094c5,268249.9659,625454.9431,712ff391616c390f419bf488eed56708,0.746610262,342.9,1/10/2020 10:59,d71002068cfe3b06b7c282b708a328a2,37f0deeecbb04b0fc43fdb3119c7ff99,0.190797177
2,80c7d493e5dca879ec3ad8386afff7c9,278704.8235,586385.1491,21345a48f91d793d5ee1948325f6b591,0.277677039,779.76,6/26/2022 23:29,52c8e4603c7177eb32818f861ea03e3f,409932fe9ab3798b134d2958da56ee6c,0.047878137
3,2507e76b1c83c91dcb6dea8c9bc0d1d4,212179.4648,340920.0175,8081490e3083112d6f8dbf92f93db458,0.193667002,285.87,6/9/2015 16:12,19970d6c0936b4fce425b0b3b075f794,6db6cc359f1fb74069aacc03213e845d,0.763856171
4,97e993b8f027d08f90dcc1777b6b383f,177803.7322,343432.5841,7c4d27b66cb098937310e3e607217897,0.716987308,361.44,4/30/2018 11:20,52c8e4603c7177eb32818f861ea03e3f,c0dd80d809670a3fecd0618897d28f87,0.529311951
5,435643b3e56f1928d0dcd62c5f388891,56705.71743,414387.978,e52a683b417712e804217047f0c7d777,0.239710644,474.5,8/28/2015 7:09,d71002068cfe3b06b7c282b708a328a2,dc763e56827e002836ec099b221007cd,0.6956
6,e201da5927a439c0b97d3aebf33cad3a,48383.58746,552522.2386,540521fd1e87f58f10c4d4e07ed79b1b,0.667735182,785.12,5/30/2019 14:33,19970d6c0936b4fce425b0b3b075f794,ad987d707012e13441710368437caeed,0.356084769
7,714419190e755fc091253c18daf5ca31,129928.6614,556414.6786,6f3fdf0b48f609a4a85813175d37c2c3,0.798244898,186.02,2/8/2018 18:11,d71002068cfe3b06b7c282b708a328a2,4f5bd24332aed852095d16ab82b7fce3,0.804060435
8,a7bf17eda9361ce308e5a7c5211b7c31,48413.26712,519139.5557,89816952115864f5dc83c5ea2656e540,0.342131914,113.03,11/27/2022 7:32,8deb6ada12f7c7b8b567085253aa21c6,be66736dc2959f6a529b5a4ab8aa613b,0.90795116
9,80bdc7fbd47603cb7bdb269b7f541ba7,35338.49089,319885.2484,fc17ea2dea1e21601ece4fbd533c71d2,0.448545009,190.39,12/22/2022 23:29,81117d7c63055f282982ebe847813842,14ecb7e068cc04ebee5eaf45d393d74d,0.712367179
10,1e9b81d07f364857eaec2c7cfa5642a5,252307.2186,352997.3122,865105dbaaba26bf12d28d27f80c2362,0.133974581,572.56,3/30/2016 0:06,8deb6ada12f7c7b8b567085253aa21c6,14ecb7e068cc04ebee5eaf45d393d74d,0.032671871
